,date,open
705,2015-11-25,62.05
706,2015-11-27,62.19
707,2015-11-30,62.1
708,2015-12-01,61.08
709,2015-12-02,61.63
710,2015-12-03,61.37
711,2015-12-04,59.86
712,2015-12-07,61.75
713,2015-12-08,61.69
714,2015-12-09,61.71
715,2015-12-10,61.13
716,2015-12-11,60.86
717,2015-12-14,60.04
718,2015-12-15,60.55
719,2015-12-16,60.32
720,2015-12-17,60.66
721,2015-12-18,59.2
722,2015-12-21,58.89
723,2015-12-22,59.94
724,2015-12-23,60.26
725,2015-12-24,60.37
726,2015-12-28,60.02
727,2015-12-29,60.46
728,2015-12-30,61.22
729,2015-12-31,60.65
730,2016-01-04,58.77
731,2016-01-05,58.79
732,2016-01-06,57.7
733,2016-01-07,56.88
734,2016-01-08,57.41
735,2016-01-11,57.0
736,2016-01-12,58.39
737,2016-01-13,59.8
738,2016-01-14,57.51
739,2016-01-15,57.07
740,2016-01-19,58.67
741,2016-01-20,57.57
742,2016-01-21,57.84
743,2016-01-22,57.55
744,2016-01-25,59.36
745,2016-01-26,57.92
746,2016-01-27,58.87
747,2016-01-28,58.29
748,2016-01-29,59.78
749,2016-02-01,60.66
750,2016-02-02,60.66
751,2016-02-03,60.88
752,2016-02-04,59.41
753,2016-02-05,58.1
754,2016-02-08,53.09
755,2016-02-09,53.19
756,2016-02-10,55.28
757,2016-02-11,53.89
758,2016-02-12,55.56
759,2016-02-16,56.79
760,2016-02-17,56.7
761,2016-02-18,57.57
762,2016-02-19,56.92
763,2016-02-22,58.63
764,2016-02-23,58.45
765,2016-02-24,57.21
766,2016-02-25,58.46
767,2016-02-26,59.0
768,2016-02-29,58.25
769,2016-03-01,58.77
770,2016-03-02,59.83
771,2016-03-03,59.12
772,2016-03-04,59.14
773,2016-03-07,58.44
774,2016-03-08,57.58
775,2016-03-09,57.78
776,2016-03-10,57.51
777,2016-03-11,58.1
778,2016-03-14,57.58
779,2016-03-15,58.32
780,2016-03-16,58.65
781,2016-03-17,59.47
782,2016-03-18,59.91
783,2016-03-21,59.56
784,2016-03-22,59.0
785,2016-03-23,59.14
786,2016-03-24,58.7
787,2016-03-28,58.56
788,2016-03-29,58.82
789,2016-03-30,60.0
790,2016-03-31,59.77
791,2016-04-01,59.61
792,2016-04-04,61.1
793,2016-04-05,59.88
794,2016-04-06,60.02
795,2016-04-07,60.59
796,2016-04-08,61.5
797,2016-04-11,61.22
798,2016-04-12,58.95
799,2016-04-13,60.32
800,2016-04-14,60.26
801,2016-04-15,60.24
802,2016-04-18,60.69
803,2016-04-19,61.16
804,2016-04-20,61.04
805,2016-04-21,60.9
806,2016-04-22,59.01
807,2016-04-25,57.62
808,2016-04-26,58.05
809,2016-04-27,57.51
810,2016-04-28,56.59
811,2016-04-29,56.02
812,2016-05-02,56.29
813,2016-05-03,56.7
814,2016-05-04,55.98
815,2016-05-05,56.37
816,2016-05-06,55.96
817,2016-05-09,56.32
818,2016-05-10,56.85
819,2016-05-11,57.13
820,2016-05-12,56.57
821,2016-05-13,56.43
822,2016-05-16,55.7
823,2016-05-17,55.38
824,2016-05-18,54.76
825,2016-05-19,54.43
